"rule_name","app_name","technique_id","rule_disabled"
"Access - Excessive Failed Logins - Rule","SA-AccessProtection",T1110,0
"Access - Excessive Failed Logins - Rule","SA-AccessProtection",T1078,0
"Access - Inactive Account Usage - Rule","SA-AccessProtection",T1078,1
"Access - Insecure Or Cleartext Authentication - Rule","SA-AccessProtection",T1040,0
"Access - Insecure Or Cleartext Authentication - Rule","SA-AccessProtection",T1021,0
"Access - Short-lived Account Detected - Rule","DA-ESS-AccessProtection",T1078,0
"Access - Short-lived Account Detected - Rule","DA-ESS-AccessProtection",T1098,0
"Endpoint - Anomalous User Account Creation - Rule","DA-ESS-EndpointProtection",T1136,1
"ESCU - Access LSASS Memory for Dump Creation - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Attempt To Add Certificate To Untrusted Store - Rule","DA-ESS-ContentUpdate",T1089,1
"ESCU - Attempt To Set Default PowerShell Execution Policy To Unrestricted or Bypass - Rule","DA-ESS-ContentUpdate",T1086,1
"ESCU - Attempt To Set Default PowerShell Execution Policy To Unrestricted or Bypass - Rule","DA-ESS-ContentUpdate",T1064,1
"ESCU - Attempt To Stop Security Service - Rule","DA-ESS-ContentUpdate",T1089,1
"ESCU - Attempted Credential Dump From Registry via Reg.exe - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Child Processes of Spoolsv.exe - Rule","DA-ESS-ContentUpdate",T1068,1
"ESCU - Clients Connecting to Multiple DNS Servers - Rule","DA-ESS-ContentUpdate",T1048,1
"ESCU - Create local admin accounts using net.exe - Rule","DA-ESS-ContentUpdate",T1059,1
"ESCU - Create Remote Thread into LSASS - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Creation of Shadow Copy - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Creation of Shadow Copy with wmic and powershell - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Credential Dumping via Copy Command from Shadow Copy - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Credential Dumping via Symlink to Shadow Copy - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Detect Activity Related to Pass the Hash Attacks - Rule","DA-ESS-ContentUpdate",T1075,1
"ESCU - Detect attackers scanning for vulnerable JBoss servers - Rule","DA-ESS-ContentUpdate",T1082,1
"ESCU - Detect Credential Dumping through LSASS access - Rule","DA-ESS-ContentUpdate",T1003,1
"ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule","DA-ESS-ContentUpdate",T1192,1
"ESCU - Detect Excessive Account Lockouts From Endpoint - Rule","DA-ESS-ContentUpdate",T1078,1
"ESCU - Detect Excessive User Account Lockouts - Rule","DA-ESS-ContentUpdate",T1078,1
