vendor,name,count,join_key
siemens,cpu 1200 firmware,204,siemens:simatic s7 cpu 1211c
siemens,cpu 414 3 firmware,45,siemens:simatic s7 400 cpu 414 3 pn/dp
rockwell automation/allen-bradley,panelview plus 7 perf 1500 firmware,26,rockwellautomation:panelview plus 6 700 1500 firmware	
microsoft corporation,microsoft windows xp professional,25,
rockwell automation/allen-bradley,powerflex 525 firmware,25,rockwellautomation:powerflex 525 ac drives firmware
siemens,cpu 416 2 dp firmware,25,siemens:simatic s7 cpu 1200 firmware
siemens,cpu 315 2 pn/dp firmware,22,siemens:sinumerik 828d
siemens,simatic s7 400 firmware,22,siemens:simatic s7 400 cpu 412 2 pn
microsoft corporation,microsoft sql server 2005,19,microsoft:sql server
siemens,cpu 416 3 firmware,17,siemens:simatic s7 400 cpu 414 3 pn/dp
microsoft corporation,microsoft .net framework 2.0 language pack   deu,16,microsoft:.net framework
opc foundation,opc .net api 2.00 redistributables,16,opcsystems:opc systems.net
microsoft corporation,microsoft .net framework 2.0,15,microsoft:.net framework
microsoft corporation,microsoft .net framework 3.0,15,microsoft:.net framework
microsoft corporation,service pack 2 for sql server database services 2005 enu (kb921896),14,
microsoft corporation,service pack 2 for sql server integration services 2005 enu (kb921896),14,
microsoft corporation,service pack 2 for sql server tools and workstation components 2005 enu (kb921896),14,
rockwell automation/allen-bradley,1756 l72s/b logix5572safety firmware,14,rockwellautomation:1756 en2f series a firmware	
rockwell automation/allen-bradley,1756 l73s/b logix5573safety firmware,14,rockwellautomation:1756 en2f series a firmware	
siemens,cpu 317 2 pn/dp firmware,14,siemens:s7 1200 cpu 1211c firmware
siemens,cpu 416 2 firmware,14,siemens:simatic s7 400 cpu 414 3 pn/dp
symantec corporation,livereg (symantec corporation),14,symantec:liveupdate administrator
symantec corporation,liveupdate 2.5 (symantec corporation),14,symantec:liveupdate administrator
microsoft corporation,kb958644 (security update for windows xp (kb958644)),13,
microsoft corporation,microsoft .net framework 2.0   language pack (italiano),13,microsoft:.net framework
microsoft corporation,module de prise en charge linguistique de microsoft .net framework 2.0   fra,13,
microsoft corporation,paquete de idioma de microsoft .net framework 2.0   esn,13,
microsoft corporation,xpsepsc (xml paper specification shared components pack 1.0),13,
rockwell automation/allen-bradley,1756 l71s/b logix5571safety firmware,13,rockwellautomation:1756 en2f series a firmware	
"mcafee, inc.",mcafee agent,12,mcafee:agent
rockwell automation/allen-bradley,1756 l71/b logix5571 firmware,12,rockwellautomation:1756 en2f series a firmware	
rockwell automation/allen-bradley,1756 l85e/b firmware,12,rockwellautomation:1756 en2f series a firmware	
conexant,conexant hd audio,11,
symantec corporation,symantec pcanywhere,11,symantec:altiris client management suite pcanywhere solution
microsoft corporation,kb2229593 (security update for windows xp (kb2229593)),10,
microsoft corporation,kb942766 v6 (hotfix for windows xp (kb942766 v6)),10,
microsoft corporation,microsoft visual c++ 2005 redistributable (x64),10,
rockwell automation/allen-bradley,1756 l73/b logix5573 firmware,10,rockwellautomation:1756 en2f series a firmware	
siemens,cpu 315f 2 pn/dp firmware,10,siemens:s7 1200 cpu 1211c firmware
microsoft corporation,configuration manager client,9,microsoft:system center configuration manager
microsoft corporation,kb2115168 (security update for windows xp (kb2115168)),9,
microsoft corporation,kb2296011 (security update for windows xp (kb2296011)),9,
microsoft corporation,kb2345886 (update for windows xp (kb2345886)),9,
microsoft corporation,kb2347290 (security update for windows xp (kb2347290)),9,
microsoft corporation,kb2378111 wm9 (security update for windows media player (kb2378111)),9,
microsoft corporation,kb2387149 (security update for windows xp (kb2387149)),9,
microsoft corporation,kb2393802 (security update for windows xp (kb2393802)),9,
microsoft corporation,kb2419632 (security update for windows xp (kb2419632)),9,
microsoft corporation,kb2423089 (security update for windows xp (kb2423089)),9,
microsoft corporation,kb2443105 (security update for windows xp (kb2443105)),9,
microsoft corporation,kb2478960 (security update for windows xp (kb2478960)),9,
microsoft corporation,kb2479943 (security update for windows xp (kb2479943)),9,
microsoft corporation,kb2481109 (security update for windows xp (kb2481109)),9,
microsoft corporation,kb2483185 (security update for windows xp (kb2483185)),9,
microsoft corporation,kb2485663 (security update for windows xp (kb2485663)),9,
microsoft corporation,kb2506212 (security update for windows xp (kb2506212)),9,
microsoft corporation,kb2507938 (security update for windows xp (kb2507938)),9,
microsoft corporation,kb2508429 (security update for windows xp (kb2508429)),9,
microsoft corporation,microsoft sql server 2005 (wincc),9,
rockwell automation/allen-bradley,1783 bms20cgn stratix 5700 firmware,9,
rockwell automation/allen-bradley,1783 zms8t8e2tgp stratix 5700 firmware,9,
